category,recipient,year ordered,year delivered
aircraft,Saudi Arabia,2011,2012
aircraft,Saudi Arabia,2011,2013-2014
aircraft,Saudi Arabia,-2012,2015
aircraft,Saudi Arabia,2012,2013-2014
aircraft,Saudi Arabia,2012,2013
aircraft,Saudi Arabia,-2012,2015-2016
aircraft,Saudi Arabia,2012,2013
aircraft,Saudi Arabia,2012,2014-2015
aircraft,Saudi Arabia,2013,2016
aircraft,Saudi Arabia,2013,2013
aircraft,Saudi Arabia,2014,2016-2018
aircraft,Saudi Arabia,2015,2018-2019
aircraft,Saudi Arabia,2016,2019
aircraft,Saudi Arabia,2016,2017
aircraft,Saudi Arabia,2017,2018-2019
aircraft,Senegal,-2011,2011
aircraft,Serbia,1-Jul,2012
aircraft,Singapore,1997,1999-2000
aircraft,Singapore,1997,1999-2000
aircraft,Singapore,1998,2000
aircraft,Singapore,1999,2002
aircraft,Singapore,1999,2001
aircraft,Singapore,1999,2000
aircraft,Singapore,-2000,2004-2005
aircraft,Singapore,2000,2002
aircraft,Singapore,2001,2005
aircraft,Singapore,2005,2009-2010
aircraft,Singapore,2005,2009-2010
aircraft,Singapore,2007,2010-2012
aircraft,Singapore,2007,2009-2011
aircraft,Singapore,2008,2012
aircraft,Singapore,-2010,2013
aircraft,Singapore,-2011,2012-2013
aircraft,Singapore,2013,2018
aircraft,Singapore,-2014,2016-2017
aircraft,Singapore,-2016,2020
aircraft,Slovakia,2015,2017-2019
aircraft,Somalia,-2013,2013
aircraft,South Korea,1996,2000-2001
aircraft,South Korea,2000,2001-2002
aircraft,South Korea,2005,2010
aircraft,South Korea,2010,2014
aircraft,South Korea,2013,2016-2017
aircraft,South Korea,-2013,2014
aircraft,South Korea,2014,2018-2019
aircraft,Spain,1995,1995-2000
aircraft,Spain,-1999,2000
aircraft,Spain,2000,2002-2004
aircraft,Spain,2000,2002-2003
aircraft,Spain,-2015,2017
aircraft,Spain,2016,2019
aircraft,Sri Lanka,2000,2000
aircraft,Sri Lanka,2000,2002
aircraft,Sri Lanka,-2010,2011
aircraft,Sweden,2000,2000
aircraft,Sweden,2010,2011
aircraft,Sweden,2011,2011-2013
aircraft,Switzerland,4-Jul,2012
aircraft,Taiwan,1997,2000-2002
aircraft,Taiwan,1997,2000-2001
aircraft,Taiwan,1999,1999-2001
aircraft,Taiwan,1999,2002-2003
aircraft,Taiwan,1999,2005
aircraft,Taiwan,-2008,2012-2015
aircraft,Taiwan,-2010,2012-2014
aircraft,Taiwan,2011,2014
aircraft,Taiwan,-2012,2014-2019
aircraft,Thailand,1993,1997-2000
aircraft,Thailand,2000,2002-2003
aircraft,Thailand,2001,2002-2004
aircraft,Thailand,2001,2001-2002
aircraft,Thailand,2003,2004-2005
aircraft,Thailand,-2005,2011-2012
aircraft,Thailand,2007,2011
aircraft,Thailand,2009,2009
aircraft,Thailand,-2010,2011
aircraft,Thailand,2010,2011-2012
aircraft,Thailand,2012,2013
aircraft,Thailand,2012,2014
aircraft,Thailand,2012,2012
aircraft,Thailand,2013,2016
aircraft,Thailand,2016,2017
aircraft,Trinidad and Tobago,1998,2000
aircraft,Trinidad and Tobago,2000,2000-2001
aircraft,Trinidad and Tobago,2009,2011-2012
aircraft,Tunisia,-2001,2002
aircraft,Tunisia,2006,2008-2011
aircraft,Tunisia,2010,2013-2014
aircraft,Tunisia,2015,2017-2018
aircraft,Tunisia,2016,2016-2017
aircraft,Tunisia,-2016,2017
aircraft,Tunisia,2016,2016
aircraft,Tunisia,2016,2019
aircraft,Turkey,1998,2002
aircraft,Turkey,1999,1999-2002
aircraft,Turkey,2003,2004
aircraft,Turkey,2006,2012-2014
aircraft,Turkey,2009,2009-2010
aircraft,Turkey,2011,2012
aircraft,Turkey,-2011,2016
aircraft,Turkey,2012,2012
aircraft,Turkey,2015,2018-2019
aircraft,UAE,2000,2004-2008
aircraft,UAE,2001,2001-2002
aircraft,UAE,-2005,2005-2007
aircraft,UAE,2007,2008-2009
aircraft,UAE,2007,2007
aircraft,UAE,2007,2008
aircraft,UAE,2008,2010
aircraft,UAE,-2008,2009-2010
aircraft,UAE,-2009,2011-2012
aircraft,UAE,2009,2012-2013
aircraft,UAE,2010,2010-2014
aircraft,UAE,2010,2012
aircraft,UAE,2010,2011-2012
aircraft,UAE,2011,2012-2015
aircraft,UAE,-2013,2014-2016
aircraft,UAE,2014,2015-2017
aircraft,UAE,-2014,2017
aircraft,UAE,2015,2015
aircraft,Uganda,-2009,2009
aircraft,Uganda,2014,2015
aircraft,Uganda,2016,2017
aircraft,United Kingdom,1990,1999-2001
aircraft,United Kingdom,1994,1998-2000
aircraft,United Kingdom,1995,2000-2001
aircraft,United Kingdom,2000,2001
aircraft,United Kingdom,2002,2002-2003
aircraft,United Kingdom,-2002,2003-2004
aircraft,United Kingdom,2006,2008
aircraft,United Kingdom,2006,2007-2008
aircraft,United Kingdom,2007,2008
aircraft,United Kingdom,-2007,2009
aircraft,United Kingdom,2007,2009
aircraft,United Kingdom,-2008,2011
aircraft,United Kingdom,2008,2009
aircraft,United Kingdom,2008,2010
aircraft,United Kingdom,-2009,2010
aircraft,United Kingdom,-2010,2011
aircraft,United Kingdom,-2010,2014
aircraft,United Kingdom,2010,2013-2017
aircraft,United Kingdom,2012,2012
aircraft,United Kingdom,-2012,2013
aircraft,United Kingdom,2013,2014
aircraft,United Kingdom,2016,2019
aircraft,United Kingdom,2016,2018
aircraft,Unknown recipient(s),2013,2014-2015
aircraft,Uruguay,2019,2019
aircraft,Venezuela,-2001,2003
aircraft,Venezuela,2001,2002
aircraft,Venezuela,2014,2015
aircraft,Yemen,2-Jul,2011
aircraft,Yemen,2012,2013
aircraft,Yemen,2014,2015
air defense system,Germany,-2000,2008-2010
air defense system,Poland,2018,
air defense system,Chile,1997,1999-2000
air defense system,Chile,1999,1999-2000
air defense system,Egypt,-1996,1998-2001
air defense system,Egypt,1999,2000
air defense system,Egypt,2000,2001
air defense system,Egypt,2000,2000
air defense system,Egypt,2006,2008
air defense system,Greece,1999,2002-2004
air defense system,Iraq,-2012,2013-2014
air defense system,Kuwait,2008,2014-2016
air defense system,Kuwait,2014,2017-2018
air defense system,Netherlands,-2000,2006
air defense system,Oman,-2013,2016
air defense system,Qatar,2014,2015-2019
air defense system,Saudi Arabia,2011,2014-2017
air defense system,Saudi Arabia,2015,2017-2019
air defense system,South Korea,-2015,2017-2019
air defense system,Taiwan,2009,2014-2015
air defense system,Taiwan,2009,2011-2012
air defense system,Tunisia,1998,2002
air defense system,Turkey,2002,2005
air defense system,UAE,2008,2012-2014
air defense system,UAE,2011,2015-2016
air defense system,United Kingdom,2007,2007
artillery,Egypt,1999,2000
artillery,Japan,1993,1995-2006
artillery,Argentina,1999,2000
artillery,Bahrain,-2004,2005
artillery,Bahrain,-2011,2017
artillery,Bahrain,2012,2017
artillery,Brazil,2013,2019
artillery,Brazil,2013,2015
artillery,Brazil,2017,2018
artillery,Chile,2010,2012
artillery,Chile,-2013,2015
artillery,Denmark,1996,1998-2001
artillery,Egypt,2001,2003-2005
artillery,Egypt,-2003,2004-2005
artillery,Egypt,-2004,2005
artillery,Egypt,2005,2005-2008
artillery,Greece,1998,2000
artillery,Greece,2000,2000-2002
artillery,Greece,-2013,2014
artillery,Iraq,2008,2009-2012
artillery,Iraq,2010,2011
artillery,Iraq,2010,2011-2013
artillery,Iraq,-2015,2015-2016
artillery,Iraq,2016,2017-2018
artillery,Israel,-2002,2002
artillery,Israel,-2006,2007-2009
artillery,Israel,2011,2012
artillery,Israel,-2015,2015
artillery,Jordan,1999,2000
artillery,Jordan,2010,2012
artillery,Jordan,-2018,2019
artillery,Lebanon,2007,2009-2010
artillery,Lebanon,2014,2015
artillery,Lebanon,2015,2016
artillery,Morocco,1999,2000
artillery,Morocco,-2009,2012
artillery,Morocco,2015,2016
artillery,Pakistan,2006,2007-2010
artillery,Portugal,-1997,2001
