category,recipient,ordered,designation,description,year ordered, year delivered,delivered,comments
aircraft,Canada,24,PC-9,Trainer aircraft,1997,2000,24,$82 m deal; for civilian company for training of pilots from Canadian and other air forces under 'NATO Flying Training in Canada' (NFTC) programme; T-6A-1 Texan-2 version; Canadian designation CT-156 Harvard-2
aircraft,Canada,2,PC-9,Trainer aircraft,2002,2002,2,$12 m deal; for civilian company for training of pilots from Canadian and other air forces under 'NATO Flying Training in Canada' (NFTC) programme; T-6A-1 Texan-2 version; Canadian designation CT-156 Harvard-2
aircraft,Canada,4,C-17A Globemaster-3,Heavy transport ac,2007,2007-2008,4,$1.3 b deal (part of CAD3.4 b deal)
aircraft,Canada,6,CH-47D Chinook,Transport helicopter,2008,2008-2009,-6,Second-hand; $249 m deal
aircraft,Canada,15,CH-47F Chinook,Transport helicopter,2009,2013-2014,-15,CAD1.4 b ($1.4 b) deal (offsets 100%)
aircraft,Canada,1,C-17A Globemaster-3,Heavy transport ac,-2014,2015,1,CAD415 m ($357 m) deal
aircraft,Canada,5,RQ-21A Blackjack,UAV,2016,2017,5,$14 m deal
aircraft,Canada,3,King Air-350 ISR,AGS aircraft,2019,,,CAD188 m ($142 m) deal (CAD247 m incl support); delivery planned 2022
aircraft,Central African Republic,1,C-130B Hercules,Transport aircraft,28-Jun,2006,1,Second-hand; C-130A version
aircraft,Chad,1,PC-7 Turbo Trainer,Trainer aircraft,-2006,2006,-1,Second-hand
aircraft,Chad,2,Cessna-208 Caravan,Light transport ac,2016,2017,2,For surveillance; aid
aircraft,Chile,15,Cessna-337/O-2,Light aircraft,-1996,1997-2000,-15,Second-hand; 4 more delivered for spares only and 5 for storage for possible future use
aircraft,Chile,1,Bell-412,Helicopter,2000,2000,1,Second-hand
aircraft,Chile,-1,Bell-412,Helicopter,-2000,2001,1,Second-hand
aircraft,Chile,3,CitationJet,Light transport ac,-2000,2001,3,For training
aircraft,Chile,10,F-16C Block-50/52,FGA aircraft,2003,2006-2007,10,"$660 m 'Peace Puma', 'Caza-2000' or 'F-2000' progamme (price does not include engines; offsets 100%); F-16C Block-50 version; incl 4 F-16D version"
aircraft,Chile,4,Bell-412,Helicopter,2007,2009,-4,$45 m deal; from Canadian production line; Bell-412EP version
aircraft,Chile,8,Bell-412,Helicopter,-2009,2009-2011,-8,From Canadian production line; Bell-412EP version
aircraft,Chile,3,KC-135 Stratotanker,Tanker/transport ac,-2009,2010-2012,3,Second-hand; $40 m deal; KC-135E version
aircraft,Chile,4,SR-22,Light aircraft,-2012,2013-2015,4,
aircraft,Chile,2,KC-130H Hercules,Tanker/transport ac,-2013,2015-2016,-2,Second-hand; aid; KC-130R version
