category,recipient,ordered,designation,description,year ordered, year delivered,delivered,comments
,,2,Boeing-737 Classic,Transport aircraft,2012,2013,-2,Second-hand; Boeing-737-300F version
,,-1,Cessna-208 Caravan,Light transport ac,-2012,2013,-1,Grand Caravan-EX version
,,2,Cessna-208 Caravan,Light transport ac,-2012,2013,2,Possibly second-hand; Cessna-208B version
,,5,S-70/UH-60L,Helicopter,2012,2013,5,$87 m deal; S-70i version; from Polish production line
,,2,S-70/UH-60L,Helicopter,2013,2013,2,S-70i version; from Polish production line
,,6,ScanEagle,UAV,-2013,2013,6,Aid
,,60,Bell-206/OH-58,Light helicopter,2015,2016-2017,-60,Second-hand; TH-67 version; for training
,,-1,Cessna-208 Caravan,Light transport ac,-2016,2017,-1,Cessna-208B-EX version
,,10,S-70/UH-60A,Helicopter,-2016,2017,10,Second-hand; for police
,,-10,S-70/UH-60L,Helicopter,-2018,Second-hand; for police; aid,,
,,1,S-70/UH-60L,Helicopter,2018,2019,1,
,Costa Rica,2,MD-600N,Light helicopter,4-Jul,2012-2014,2,$7.6 m deal; incl for anti-narcotics operations and SAR
,Croatia,16,Bell-206/OH-58D(I),Combat helicopter,2016,2016,16,Second-hand; HRK286 m ($41 m) deal (incl HRK100 m aid); OH-58D version
,,2,S-70/UH-60L,Helicopter,-2018,$53 m aid; UH-60M version; delivery planned 2020,,
,Czechia,10,ScanEagle,UAV,2014,2015,10,CZK200 m ($6.8-8.1 m) aid
,,4,Enstrom-480,Light helicopter,2017,2018,-4,TH-480B-G version; owned and operated by civilian company for training of Czech military pilots
,,4,AH-1Z Viper,Combat helicopter,2019,Delivery planned 2023-2024,,
,,8,UH-1Y,Helicopter,2019,Delivery planned 2023-2024,,
,Denmark,3,C-130J-30 Hercules,Transport aircraft,2000,2004,3,$328 m deal (incl buy-back of 3 Danish C-130H aircraft by producer)
,,1,C-130J-30 Hercules,Transport aircraft,2004,2007,1,DKR525 m ($88 m) deal
,,9,MH-60R Seahawk,ASW helicopter,2012,2016-2018,9,$686 m deal; MH-60R version
,Dominican Republic,4,R-22,Light helicopter,-2000,2001-2002,-4,Mainly for border patrol against smuggling and illegal immigration from Haiti
,,2,R-44,Light helicopter,-2000,2001-2002,-2,Mainly for border patrol against smuggling and illegal immigration from Haiti
,,-8,Bell-205/UH-1 Huey-2,Helicopter,-2002,2004,8,Second-hand UH-1H rebuilt to Huey-2; aid
,,12,Bell-206/OH-58,Light helicopter,2002,2003-2004,12,Second-hand; aid; OH-58C version
,,4,Schweizer-330,Light helicopter,-2003,2003-2004,4,Schweizer-333 version; for training
,,-5,Cessna-172/T-41,Trainer/light ac,-2014,2015,5,Cessna-172S version
,,1,P2006T,Light aircraft,2015,2016,1,For anti-narcotics operations
,DR Congo,2,Boeing-727,Transport aircraft,1-Jul,2009,2,Second-hand; $0.8 m deal
,Ecuador,3,MX-7,Light aircraft,-2001,2002,3,
,,-3,Cessna-U206,Light aircraft,2008,2009-2010,-3,
,,2,Bell-430,Light helicopter,2009,2010,2,Second-hand
,Egypt,21,F-16C,FGA aircraft,1996,1999-2000,-21,'Peace Vector-5' deal; aid
,,24,F-16C,FGA aircraft,1999,2001-2002,-24,$1.2 b 'Peace Vector-6' (incl $100 m for engines); F-16 Block- 40 version; incl 12 F-16D
,,-35,AH-64D Apache,Combat helicopter,-2000,2003-2006,-35,Egyptian AH-64A rebuilt to AH-64D
,,1,E-2C Hawkeye,AEW&C aircraft,2001,2003,1,Second-hand; $25 m aid; modernized to Hawkeye-2000 before delivery
,,3,C-130H Hercules,Transport aircraft,2004,2004,-3,Second-hand and/or Italian aircraft sold back to US producer and sold to Egypt; $31 m deal
,,1,E-2C Hawkeye,AEW&C aircraft,2008,2010,1,Second-hand; $38 m deal; modernized to Hawkeye-2000 before delivery
,,10,AH-64D Apache,Combat helicopter,-2010,2014,10,
,,20,F-16C Block-50/52,FGA aircraft,2010,2013-2015,20,Part of $3.2 b 'Peace Vector-7' deal; F-16C Block-52 version (incl 4 F-16D version)
,,2,Beech-1900 SIGINT,SIGINT aircraft,2011,2012,2,$24 m deal; second-hand transport aircraft rebuilt to SIGINT aircraft
,El Salvador,5,Bell-412,Helicopter,-2001,2002-2003,-5,From Canadian production line; Bell-412EP version
,,3,MD-500E,Light helicopter,2011,2012,3,$7.3 m deal (part of $9.7 m aid)
,Equatorial Guinea,2,Enstrom-480,Light helicopter,-2007,2007,-2,TH-480B Guardian version
,Estonia,4,R-44,Light helicopter,23-Jun,2002,4,$2 m aid
,,2,M28 Skytruck,Light transport ac,2017,2019,-2,Second-hand; aid
,Ethiopia,1,C-130E Hercules,Transport aircraft,-2013,2014,1,Second-hand; aid
,,1,C-130E Hercules,Transport aircraft,2017,2018,1,Second-hand; aid
,France,2,A-4M Skyhawk-2,FGA aircraft,25-Jun,2003-2004,2,Second-hand; leased by civilian company target towing for French navy; A-4N version
,,16,SR-20,Light aircraft,2012,2012,-16,Owned and operated by civilian company for French armed forces
,,7,SR-22,Light aircraft,2012,2012,-7,Owned and operated by civilian company for training of French armed forces
,,6,MQ-9 Reaper,UAV,2013,2013-2017,-6,$600 m deal; MQ-9 Block-1 version (to be modified to armed version 2019-2020)
,,2,C-130J-30 Hercules,Transport aircraft,2016,2017-2018,2,$133 m deal
,,2,KC-130J Hercules,Tanker/transport ac,2016,2019,1,Delivery planned 2019-2020
,,-8,King Air,Light transport ac,2016,2018-2019,2,King Air-350 version; modified in France to King Air-350ASLR SIGINT/reconnaissance aircraft; delivery planned 2018-2025
,,6,MQ-9 Reaper,Armed UAV,2018,$123 m deal; armed MQ-9 Block-5 version; delivery planned from 2020,,
,,3,E-2D Hawkeye,AEW&C aircraft,-2019,Selected but not yet ordered by end-2019; delivery planned 2026-2028,,
,Georgia,6,Bell-205/UH-1H,Helicopter,1999,2001,6,Second-hand; aid; 4 more for spares only; in exchange for help in 'War on Terrorism'
,Germany,6,C-130J Hercules,Transport aircraft,-2019,Selected but not yet ordered by end-2019,,
,Greece,-6,A-7E Corsair-2,FGA aircraft,1998,2000-2001,-6,Second-hand; aid; possibly for spare parts only
,,10,T-2D Buckeye,Trainer aircraft,1998,2001-2002,10,Second-hand; aid; T-2C version
,,7,CH-47D Chinook,Transport helicopter,1999,2001,7,$286 m deal
,,45,PC-9,Trainer aircraft,1999,2000-2003,-45,$223-240 m deal (offsets 120% incl production of parts for 300 T-6A); T-6A-1 Texan-2 version;  incl 20 T-6B armed version (for training); option on 5 more
,,50,F-16C Block-50/52,FGA aircraft,2000,2003-2004,-50,$2.1 b 'Peace Xenia-3' deal; F-16CG Block-52+ version; incl 16 F-16DG
,,2,King Air,Light transport ac,2000,2002,2,"$11.4 m deal; C-12R/AP version; for VIP transport, photographic reconnaissance and survey"
,,3,S-70B/SH-60B Seahawk,ASW helicopter,2000,2003-2004,3,S-70B-6 Aegean Hawk version
,,10,F-16C Block-50/52,FGA aircraft,2001,2004,10,$183 m 'Peace Xenia-3' deal; F-16CG Block-52+ version; incl 4 F-16DG
,,2,C-130H Hercules,Transport aircraft,2002,2003,-2,Second-hand aircraft sold back to US producer and sold to Greece
,,12,AH-64D Apache,Combat helicopter,2003,2007,-12,Part of $675-703 m deal (offsets $845 m); option on 4 more not used
,,30,F-16C Block-50/52,FGA aircraft,2005,2009-2010,30,$2 b 'Peace Xenia-4' deal (offsets 132%); F-16 Block-52+ version (incl 12 F-16D)
,,10,CH-47D Chinook,Transport helicopter,2015,2016-2019,-10,Second-hand; $126 m deal; CH-47SD version
,,60,Bell-206/OH-58D(I),Combat helicopter,2017,2019,60,Second-hand (10 more delivered for spare parts only); incl 24 for training; part of $150 m deal; OH-58D version
,Guatemala,-2,PA-28 Cherokee,Light aircraft,-2017,2018,2,Archer version
,,4,Cessna-208 Caravan,Light transport ac,2018,2018,-2,$8.2 m deal; Cessna-208B-EX version
,,1,Cessna-208 Caravan,Light transport ac,2018,2018,1,Cessna-208B-EX version; aid
,Honduras,4,MX-7,Light aircraft,29-Jun,2008,-4,Aid
,,4,MX-7,Light aircraft,2011,2011-2012,4,Aid; MXT-7-180 version
,,3,Cessna-208 Caravan,Light transport ac,-2015,2015-2018,3,Aid; Cessna-20B version
,India,6,S-61/H-3A Sea King,Transport helicopter,28-Jun,2007,-6,Second-hand; $39 m deal; UH-3H version
,,6,C-130J-30 Hercules,Transport aircraft,2008,2010-2011,6,$962 m deal (incl $596 m for aircraft and rest for special equipment; 30% offsets incl production in India of components for all future C-130J); for special forces
,,10,C-17A Globemaster-3,Heavy transport ac,2011,2013-2014,10,$4.1 b deal (offsets $1.1 b)
,,15,CH-47F Chinook,Transport helicopter,2015,2019,-10,$1 b deal (part of $2.4 b deal); CH-47F(I) version; delivery planned 2019-2023
,,1,C-17A Globemaster-3,Heavy transport ac,2017,2019,1,$262 m deal
,,1,C-130J-30 Hercules,Transport aircraft,-2018,2019,1,
,,24,MH-60R Seahawk,ASW helicopter,-2019,$2.6 b 'N-MRH' programme; selected 2019 but not yet ordered by end-2020,,
,,6,P-8A Poseidon,ASW aircraft,-2019,Selected but contract not yet signed by end-20219,,
,Indonesia,1,F-5E Tiger-2,FGA aircraft,-1996,2006,1,Second-hand but modernized in USA; delivery embargoed by USA 1999-2006
,,-25,Bell-412,Helicopter,2010,2012-2014,-25,Bell-412EP version
,,-2,Cessna-180 Skywagon,Light aircraft,-2010,2011,2,Cessna-182T version
,,24,F-16C,FGA aircraft,2012,2014-2017,-24,Second-hand F-16C Block-25 delivered as aid but modernized before delivery to Block-52 version in $670-750 m deal; incl F-16D version (6 more delivered for spare parts only)
,,2,Model-300,Light helicopter,2012,2012,-2,S-300C version; for training; option on 4 more
,,4,Bonanza,Light aircraft,2013,2013,4,Bonanza G-36 version
,,8,AH-64E Apache Guardian,Combat helicopter,-2014,2017-2018,8,$500 m deal
,,-2,Baron,Light transport ac,-2014,2015,2,G58 Baron version; for training
,,4,Bonanza,Light aircraft,2014,2015,4,
,,-1,King Air,Light transport ac,-2016,2017,1,King Air-350i version; for VIP transport
,,9,Bell-412,Helicopter,-2018,Bell-412EPI version,,
,,6,ScanEagle,UAV,2018,'Maritime Security Initiative' aid,,
,,8,ScanEagle,UAV,2019,'Maritime Security Initiative' aid,,
,Iraq,3,C-130E Hercules,Transport aircraft,-2004,2005,3,Second-hand; aid
,,7,Comp Air-7SL,Light aircraft,2004,2004,7,Financed by UAE; assembled from kits in UAE
,,16,Bell-205/UH-1 Huey-2,Helicopter,2005,2007,-16,Iraqi UH-1H rebuilt to Huey-2
,,-11,Cessna-208 Caravan,Light transport ac,-2005,2007-2009,-11,Including 3 AC-208B armed version
,,20,Bell-206/OH-58,Light helicopter,2007,2008-2009,20,Incl 10 Second-hand OH-58C and 10 second-hand Bell-206B version; aid
,,12,Cessna-172/T-41,Trainer/light ac,2007,2007-2009,12,Option on 6 more
,,1,King Air,Light transport ac,2007,2007,1,Part of $160 m deal; King Air-350ER version
,,5,King Air-350 ISR,AGS aircraft,2007,2008,-5,Part of $132 m 'Peace Dragon' deal
,,24,Bell-407,Light helicopter,2009,2012-2013,24,$60 m deal; armed version; option on 26 more
,,3,Bell-407,Light helicopter,2009,2010,3,$6.9 m deal; T-407 trainer version
,,6,C-130J-30 Hercules,Transport aircraft,2009,2012-2013,6,$293 m deal
,,15,PC-9,Trainer aircraft,2009,2009-2010,15,Part of $257 m deal; T-6A version
,,3,Bell-407,Light helicopter,-2010,2011,-3,
,,18,F-16C Block-50/52,FGA aircraft,2011,2014-2015,-18,Part of $3 b deal; F-16C Block-52 or F-16IQ version (incl 6 F-16D)
,,18,F-16C Block-50/52,FGA aircraft,2013,2016-2017,-18,$830 m deal; F-16C Block-52 or F-16IQ version
,,-10,ScanEagle,UAV,2013,2014,-10,
,,16,Bell-407,Light helicopter,-2014,2015,16,Armed version
,,1,King Air-350 ISR,AGS aircraft,2014,2016,1,Part of $27-35 m deal; King Air-350ER version
,Israel,-5,King Air,Light transport ac,-1998,2000,-5,B200T version; Israeli designation Zufit-2; incl for EW and ELINT/SIGINT
,,1,Boeing-707,Transport aircraft,2000,2001,1,Second-hand but modernized and modified to tanker aircraft after delivery
,,-30,AH-1F Cobra,Combat helicopter,-2001,2002-2005,-30,Second-hand; aid
,,-12,AH-64D Apache,Combat helicopter,2001,2005-2006,-12,$509 m deal (financed by US 'FMF' aid); incl 3 Israeli AH-64A rebuilt to AH-64D; Israeli designation Sharaf
,,3,Gulfstream-5,Light transport ac,2001,2005-2007,3,$174-206 m deal (partly financed by US 'FMF' aid); G-550 version; modified in Israel to G-550 SEMA Shavit ELINT aircraft; delivery 2005-2007
,,8,King Air,Light transport ac,2001,2002-2003,-8,B200CT version; modified in Israel for SIGINT; Israeli designation Zufit-3
,,24,S-70/UH-60L,Helicopter,2001,2002,24,$212 m deal; S-70A-55 version; Israeli designation Yanshuf-3
,,6,King Air,Light transport ac,2002,2003,-6,B200CT version; for training; Israeli designation Zufit-5
,,-2,G-550 AEW,AEW&C aircraft,2003,2007,2,Part of $473 m deal (partly financed by US 'FMF' aid); modified in Israel to Eitam AEW aircraft
,,6,AH-64D Apache,Combat helicopter,2004,2006,-6,$200 m deal; Israeli AH-64A rebuilt to AH-64D; Israeli designation Saraf
,,18,Bonanza,Light aircraft,2004,2004-2005,-18,$11 m deal; option on 6 more
,,-42,AH-1F Cobra,Combat helicopter,-2005,2006,-42,Second-hand; aid
,,-20,PC-9,Trainer aircraft,2008,2009-2010,-20,$124 m deal (funded by US 'FMF' aid); T-6A Texan-2 version; Israeli designation Efroni
,,1,Boeing-707,Transport aircraft,2010,2011,-1,Second-hand but modernized and modified to tanker aircraft after delivery
,,3,C-130J Hercules,Transport aircraft,2010,2013-2015,3,$250 m deal; Israeli designation Samson
,,3,AH-64D Apache,Combat helicopter,2011,2012,3,Israeli AH-64A rebuilt to AH-64D; Israeli designation Saraf
,,1,PC-9,Trainer aircraft,-2011,2012,1,T-6A Texan-2 version; Israeli designation Efroni
,,4,C-130J Hercules,Transport aircraft,2013,2016-2018,-4,Israeli designation Samson
,,9,F-15C Eagle,FGA aircraft,2016,2016,9,Second-hand; aid; F-15D version; possibly (partly) for spare parts
,,1,Gulfstream-5,Light transport ac,-2017,2019,-1,G-550 version; modified in Israel to special mission aircraft
,,8,S-70B/SH-60B Seahawk,ASW helicopter,-2017,Second-hand but possibly modernized before delivery,,
,,2,KC-46A Pegasus,Tanker/transport aircraft,-2019,Selected but contract not yet signed by end-2019,,
,Italy,6,C-130J-30 Hercules,Transport aircraft,1997,2002-2003,-6,
,,10,C-130J Hercules,Transport aircraft,1997,2000-2001,10,
,,4,C-130J-30 Hercules,Transport aircraft,2000,2004-2005,-4,
,,34,F-16(ADF),FGA aircraft,2001,2003-2004,-34,Second-hand; $760 m 'Peace Ceasar' lease (for total of 45000 flying hours) until Eurofighter enters service in 2010; F-16A Block-15ADF version; incl 4 F-16B version; modernized before delivery; 4 more delivered for spares only
,,-5,RQ-1 Predator,UAV,2001,2004,-5,$55 m deal; RQ-1A version
,,-2,RQ-1 Predator,UAV,-2004,2005,-2,
,,2,MQ-9 Reaper,UAV,-2008,2010,2,RQ-9 (RQ-1B) version
,,2,MQ-9 Reaper,UAV,2009,2010,2,$81 m deal; RQ-9 (RQ-1B) version
,,16,RQ-7 Shadow-200,UAV,2010,2015,-16,EUR51 m deal; for 4 Shadow-200 UAV systems
,,2,MQ-9 Reaper,UAV,2011,2012,2,RQ-9 (RQ-1B) version
,,-10,ScanEagle,UAV,-2011,2013,-10,
,,1,Gulfstream-3 AML,Recce/SIGINT ac,2012,2012,1,1-year lease
,,-2,RQ-1 Predator,UAV,-2014,2015,-2,
,Jamaica,4,Bell-407,Light helicopter,-2006,2007-2008,4,
,,1,Bell-206/OH-58,Light helicopter,-2008,2008,1,Bell-206B-3 version
,,1,Bell-206/OH-58,Light helicopter,-2010,2010,1,Bell-206B-3 version
,,1,King Air Maritime,MP aircraft,2017,2018,1,$23 m deal
,,1,Bell-412,Helicopter,-2018,Bell-412EPi version; from Canadian production line,,
,,3,Bell-429 GlobalRanger,Light helicopter,-2018,2018-2019,3,
,Japan,-5,Gulfstream-4,Light transport ac,1994,1996-2000,-5,'U-X' programme; Japanese designation U-4
,,6,King Air,Light transport ac,1997,1999-2004,-6,"King Air B-300 version, incl for reconnaissance; Japanese designation LR-2"
,,4,KC-767 GTTA,Tanker/transport ac,2003,2008-2010,4,'KC-X' programme; KC-767J version
,,-6,King Air,Light transport ac,-2007,2008-2009,-6,King Air-90 version; for training; Japanese designation TC-90
,,30,Enstrom-480,Light helicopter,2010,2011-2015,-30,TH-480B version; for training
,,42,F-35A Lightning-2,FGA aircraft,-2012,2016-2019,-16,USD10 b 'F-X' programme (for 42 incl first 4 ordered 2012 for $756 m)
,,6,KC-130H Hercules,Tanker/transport ac,-2012,2014-2016,-6,Second-hand but modernized before delivery; $170 m deal; KC-130R version
,,4,ScanEagle,UAV,2012,2013,4,JPY1.2 b ($9.9 m) deal
,,4,E-2D Hawkeye,AEW&C aircraft,2015,2019,-2,Delivery planned 2019-2020
,,17,V-22 Osprey,Transport ac/helicopter,2015,2018-2019,-5,$3 b deal; V-22B Block-C version
,,6,CH-47F Chinook,Transport helicopter,-2017,Delivery planned 2021-2022,,
,,3,RQ-4A Global Hawk,UAV,2017,,,
,,9,E-2D Hawkeye,AEW&C aircraft,2018,,,
,,-63,F-35A Lightning-2,FGA aircraft,-2019,Selected 2018 but not yet ordered by end-2019,,
,,-42,F-35B Lightning-2,FGA aircraft,-2019,Selected 2019 but not yet ordered by end-2019,,
,Jordan,9,AH-1F Cobra,Combat helicopter,1998,2000-2001,9,Second-hand; aid
,,-2,SA-2-37/RG-8 Condor,Reconnaissance ac,-2000,2001,-2,
,,17,F-16(ADF),FGA aircraft,2003,2003-2007,-17,Second-hand; 'Peace Falcon-2' or 'Jordan-2' deal; aid (partly as reward for Jordanian support in 2003 war against Iraq); incl 1 F-16B version
,,8,S-70/UH-60L,Helicopter,2004,2007,8,$220 m deal; UH-60L version
,,6,MD-500E,Light helicopter,-2007,2008,6,Armed MD-530F version
,,5,Cessna-208 Caravan,Light transport ac,2009,2009-2011,-5,Incl 4 Cessna-208B ISR surveillance version
,,3,C-130E Hercules,Transport aircraft,-2010,2011-2012,3,Second-hand; aid
,,3,AH-1F Cobra,Combat helicopter,2014,2016,3,Second-hand; modernised before delivery; aid
,,3,Cessna-208 Caravan,Light transport ac,-2014,2015,-3,Cessna-208B ISR surveillance version
,,8,R-44,Light helicopter,2014,2014-2015,-8,For training
,,4,AT-802U,Ground attack ac,2015,2016,4,$9.8 m deal (originally ordered by Yemen but canceled 2015 and sold to Jordan)
,,8,S-70/UH-60A,Helicopter,-2015,2015-2016,-8,Second-hand; aid
,,12,S-70/UH-60L,Helicopter,-2016,2017,12,UH-60M version; aid
,Kazakhstan,6,Bell-205/UH-1 Huey-2,Helicopter,-2003,2004,-6,Second-hand UH-1H rebuilt to Huey-2; aid against terrorists
,,2,Bell-205/UH-1 Huey-2,Helicopter,2007,2007,-2,Second-hand UH-1H rebuilt to Huey-2
,,4,Bell-205/UH-1 Huey-2,Helicopter,2011,2012-2017,4,Second-hand UH-1H rebuilt to UH-1H-2 before delivery
,Kenya,-1,Cessna-208 Caravan,Light transport ac,2014,2015,-1,Aid; Cessna-208B-ISR surveillance version
,,-2,ScanEagle,UAV,2015,2016,-2,$9.9 m deal
,,8,Bell-205/UH-1 Huey-2,Helicopter,2016,2016-2017,8,Aid; second-hand UH-1H rebuilt to UH-1H-2 before delivery
,,3,M28 Skytruck,Light transport ac,2016,Second-hand; aid; delivery planned 2020,,
,,6,MD-500E,Light helicopter,2018,2019,-6,Armed MD-530F version
,Kuwait,16,AH-64D Apache,Combat helicopter,25-Jun,2007,16,Part of $868 m deal (incl $213 m for airframes and $46 m for Longbow radars; part of $2.1 b deal); sold on condition to be used for defensive operations only
,,3,KC-130J Hercules,Tanker/transport ac,2009,2014,3,$245 m deal (part of $1.1 b deal incl support)
,,1,C-17A Globemaster-3,Heavy transport ac,-2011,2014,1,
,,1,C-17A Globemaster-3,Heavy transport ac,2013,2014,1,
,,28,F/A-18E Super Hornet,FGA aircraft,2018,Incl 6 F/A-18F version; option on 12 more; delivery planned 2021-2022,,
,Latvia,4,S-70/UH-60L,Helicopter,2018,EUR175 m deal; UH-60M version; delivery planned around 2021,,
,Lebanon,-8,Bell-205/UH-1H,Helicopter,1998,1999-2000,-8,Second-hand; aid; some more delivered for spares only
,,-2,R-44,Light helicopter,-2003,2005,-2,R44 Raven-2 version; for training
,,1,Cessna-208 Caravan,Light transport ac,-2008,2009,1,Cessna-208B (AC-208) armed version; aid
,,1,Cessna-208 Caravan,Light transport ac,-2011,2013,1,Second-hand Cessna-208B but modernized to surveillance aircraft before delivery; aid
,,6,Bell-205/UH-1 Huey-2,Helicopter,2012,2012,6,$58 m aid (incl $33 m for aircraft only); second-hand UH-1H rebuilt to Huey-2
,,-6,Bell-205/UH-1 Huey-2,Helicopter,2014,2016-2017,-6,Second-hand UH-1H rebuilt to Huey-2; aid
,,1,Cessna-208 Caravan,Light transport ac,2015,2016,1,Cessna-208B (AC-208) armed version; aid
,,6,ScanEagle,UAV,2017,2019,6,'Building Partner Capacity' aid (worth $11 m)
,,6,MD-530G,Combat helicopter,2018,$94 m 'Building Partner Capacity' aid; delivery planned 2021,,
,Lithuania,-5,ScanEagle,UAV,-2012,2012,-5,
,,-6,S-70/UH-60L,Helicopter,-2019,UH-60M version; delivery planned from 2024; selected 2019 but contract not yet signed by end-2019,,
,Macedonia,1,Bell-412,Helicopter,2000,2000,1,$5.4 m deal (financed by Taiwan); for police; Bell-412SP version; from Canadian production line
,,1,Cessna-337/O-2,Light aircraft,2001,2001,1,Leased from and operated by US civilian company for surveillance
,Malaysia,-2,ScanEagle,UAV,4-Jul,2013,-2,MYR10 m ($3.3 m) lease via Malaysian company; for coastal surveillance
,,6,MD-530G,Combat helicopter,2016,MYR332 m ($77 m) deal; delivery planned 2020 (delayed from planned delivery 2017),,
,,12,ScanEagle,UAV,2019,'Maritime Security Initiative' aid; SanEagle-2 version; delivery planned 2020-2022,,
,Malta,1,King Air Maritime,MP aircraft,1-Jul,2011,1,EUR9.7 m deal (75% financed by EU 'EBF' programme); bought via FRG company
,,1,King Air Maritime,MP aircraft,-2010,2012,1,EUR9.7 m deal (75% financed by EU 'EBF' programme); bought via FRG company
,,1,King Air Maritime,MP aircraft,2015,2017,1,$18 m deal (financed by EU)
,Mauritania,2,Cessna-208 Caravan,Light transport ac,2014,2014,2,Aid (part of $21 m aid); incl for maritime patrol
,Mexico,-10,Explorer,Helicopter,-1998,1999-2002,10,Armed version; for anti-narcotics operations
,,73,Cessna-180 Skywagon,Light aircraft,-1999,1999-2000,73,For anti-narcotics operations; Cessna-182S version
,,-2,Lancair-ES,Light aircraft,-1999,2000,-2,Assembled from kits in Mexico; for training
,,4,Bell-412,Helicopter,-2000,2002,4,From Canadian production line; Bell-412EP version
,,1,Exec-162F,Light helicopter,2000,2000,1,Assembled from kit in Mexico
,,2,R-22,Light helicopter,2000,2000,2,For training
,,1,R-44,Light helicopter,2000,2000,1,
,,4,C-130H Hercules,Transport aircraft,-2002,2004,4,Second-hand aircraft sold back to USA and sold to Mexico; C-130K version
,,4,Schweizer-330,Light helicopter,-2003,2006,4,
,,-2,Cessna-208 Caravan,Light transport ac,2008,2009,-2,Financed by US aid under 'Merida Initiative'; surveillance or possibly ELINT version; for anti-narcotics operations
,,1,Gulfstream-4,Light transport ac,2008,2008,1,$42 m deal; for VIP transport
,,3,Bell-412,Helicopter,-2009,2010,3,Financed by US 'FMF' aid under 'Merida Initiative'; from Canadian production line; Bell-412EP version
,,5,Bell-412,Helicopter,2009,2009,5,$51-104 m deal (financed by 'FMF' aid under 'Merida Initiative'); Bell-412EP version; from Canadian production line
,,3,S-70/UH-60L,Helicopter,2010,2011,3,$35 m deal (financed by USA under 'Merida Initiative); UH-60M version
,,3,S-70/UH-60L,Helicopter,2010,2011,3,$37 m deal (financed by 'FMF' aid under 'Merida Initiative'); UH-60M version
,,6,PC-9,Trainer aircraft,-2011,2012,6,T-6C+ version
,,3,Citation-1,Light transport ac,-2013,2016,-3,Second-hand but modernized before delivery and modified to AGS/SIGINT aircraft with Israeli systems
,,4,King Air,Light transport ac,2013,2014-2015,-4,King Air-350ER version
,,6,PC-9,Trainer aircraft,-2013,2014,6,T-6C+ version
,,2,King Air,Light transport ac,2014,2015,2,King Air-350i version
,,-4,King Air-350 ISR,AGS aircraft,-2014,2015-2016,-4,King Air-350ER version
,,4,King Air Maritime,MP aircraft,2014,2015-2016,-4,King Air-350ER version
,,12,PC-9,Trainer aircraft,-2014,2015-2016,-12,T-6C+ armed version; for combat role
,,2,PC-9,Trainer aircraft,2014,2014,2,T-6C+ armed version; incl for combat role
,,-11,PC-9,Trainer aircraft,-2014,2016-2018,-11,MXN857 m deal; T-6C+ armed version; incl for combat role
,,24,PC-9,Trainer aircraft,2014,2016-2017,-24,MXN6.3b ($480 m) deal; T-6C+ version
,,18,S-70/UH-60L,Helicopter,2014,2015-2017,-18,$462 m deal (incl $204 m for airframes); armed UH-60M version
,,-8,S-70/UH-60L,Helicopter,2014,2015,-8,$93 m deal; UH-60M version
,,5,S-70/UH-60L,Helicopter,-2014,2016-2017,5,$56 m deal; UH-60M version
,,15,Bell-407,Light helicopter,2015,2015-2016,-15,MXN1.7b ($112 m) deal; Bell-407GX version
,,3,Boeing-737NG,Transport aircraft,2015,2015-2016,3,Boeing-737-800 version
,,12,Cessna-U206,Light aircraft,2015,2016-2017,-12,Cessna-T206H version; for surveillance role
,,2,S-70/UH-60L,Helicopter,2015,2017,-2,UH-60M version
,,1,Cessna-208 Caravan,Light transport ac,-2018,2018,1,Cessna-208EX version
,Morocco,24,F-16C Block-50/52,FGA aircraft,30-Jun,2011-2012,-24,$2.4 b deal (partly financed by Saudi Arabia); F-16C Block-52 version
,,24,PC-9,Trainer aircraft,2009,2011-2012,24,$185 m deal; T-6C version
,,-3,CH-47D Chinook,Transport helicopter,2012,2015,3,Second-hand but probably modernized before delivery
,,2,King Air,Light transport ac,2016,2018,2,King Air-350ER version; modified before delivery to MP aircraft in France
,,2,King Air-350 ISR,AGS aircraft,-2018,2019,-2,King Air-350 version
,,-24,AH-64E Apache Guardian,Combat helicopter,-2019,Option on 12 more,,
,NATO**,2,C-17A Globemaster-3,Heavy transport ac,1-Jul,2009,2,Bought by NATO Strategic Airlift Capability (NSAC) consortium for use by 10 NATO countries plus Finland and Sweden
,,1,C-17A Globemaster-3,Heavy transport ac,2009,2009,1,For NATO Strategic Airlift Capability (NSAC) consortium for use by 10 NATO countries plus Finland and Sweden
,,5,RQ-4A Global Hawk,UAV,2012,2019,2,Part of EUR1.2 b 'NATO AGS' programme; RQ-4D-40 version
,Nepal,1,Bell-407,Light helicopter,-2018,2019,1,Bell-407GXP version
,Netherlands,30,AH-64D Apache,Combat helicopter,1995,1998-2002,-30,$686 m deal (offsets $873 m)
,,1,DC-10-40,Transport aircraft,2004,2004,1,Second-hand; DC-10-30CF version; modernized in Netherlands after delivery
,,2,C-130H Hercules,Transport aircraft,2005,2010,2,Second-hand; EUR54 m deal; EC-130Q version modernized in UK to C-130H before delivery
,,6,CH-47F Chinook,Transport helicopter,2007,2012-2013,-6,EUR400-500 m deal
,,-25,RQ-21A Blackjack,UAV,2012,2014-2015,-25,
,,12,ScanEagle,UAV,2012,2012,12,
,,6,ScanEagle,UAV,-2012,2013,-6,
,,12,CH-47F Chinook,Transport helicopter,2016,$308 m deal; delivery planned from 2020,,
,,2,CH-47F Chinook,Transport helicopter,2017,,,
